symbol,name,notes
600460,士兰微,功率半导体核心观察
600745,闻泰科技,功率半导体核心观察；股票池漏项保护
688187,时代电气,功率半导体核心观察
300373,扬杰科技,功率半导体核心观察
688396,华润微,功率半导体核心观察
600360,华微电子,功率半导体核心观察
605111,新洁能,功率半导体核心观察
603290,斯达半导,功率半导体核心观察
300623,捷捷微电,功率半导体核心观察
688012,宏微科技,功率半导体核心观察
688281,东微半导,功率半导体核心观察
600703,三安光电,功率半导体核心观察
